a あ ア
i い イ
u う ウ
e え エ
o お オ
ka か カ
ki き キ
ku く ク
ke け ケ
ko こ コ
sa さ サ
shi し シ
su す ス
se せ セ
so そ ソ
ta た タ
chi ち チ
tsu つ ツ
te て テ
to と ト
na な ナ
ni に ニ
nu ぬ ヌ
ne ね ネ
no の ノ
ha は ハ
hi ひ ヒ
fu ふ フ
he へ ヘ
ho ほ ホ
ma ま マ
mi み ミ
mu む ム
me め メ
mo も モ
ya や ヤ
yu ゆ ユ
yo よ ヨ
ra ら ラ
ri り リ
ru る ル
re れ レ
ro ろ ロ
wa わ ワ
wo を ヲ
ga が ガ
gi ぎ ギ
gu ぐ グ
ge げ ゲ
go ご ゴ
za ざ ザ
ji(zi) じ ジ
zu ず ズ
ze ぜ ゼ
zo ぞ ゾ
da だ ダ
ji(di) ぢ ヂ
zu(du) づ ヅ
de で デ
do ど ド
ba ば バ
bi び ビ
bu ぶ ブ
be べ ベ
bo ぼ ボ
pa ぱ パ
pi ぴ ピ
pu ぷ プ
pe ぺ ペ
po ぽ ポ
kya きゃ キャ
kyu きゅ キュ
kyo きょ キョ
sha しゃ シャ
shu しゅ シュ
sho しょ ショ
cha ちゃ チャ
chu ちゅ チュ
cho ちょ チョ
nya にゃ ニャ
nyu にゅ ニュ
nyo にょ ニョ
hya ひゃ ヒャ
hyu ひゅ ヒュ
hyo ひょ キョ
mya みゃ ミャ
myu みゅ ミュ
myo みょ ミョ
rya りゃ リャ
ryu りゅ リュ
ryo りょ リョ
gya ぎゃ ギャ
gyu ぎゅ ギュ
gyo ぎょ ギョ
ja(zya) じゃ ジャ
ju(zyu) じゅ ジュ
jo(zyo) じょ ジョ
ja(dya) ぢゃ ヂャ
ju(dyu) ぢゅ ヂュ
jo(dyo) ぢょ ヂョ
bya びゃ ビャ
byu びゅ ビュ
byo びょ ビョ
pya ぴゃ ピャ
pyu ぴゅ ピャ
pyo ぴょ ピョ
